post_id,external_post_id,platform_name,page_name,content_type,full_date,reach,engagement_count,engagement_rate,virality_score,caption,loaded_comment_count,positive_comment_count,sentiment_ratio
1082,S8-qlVAU-jk,youtube,Trung Nguyên Legend,video,2024-01-01,249565,4532,1.816,0.0,The Tao of Coffee - Cà Phê Đạo | Bản Full VietSub | Trung Nguyên Legend,100,37,37.0
990,Q5V7WFrNjNc,youtube,Trung Nguyên Legend,video,2025-01-02,551796,4053,0.7345,0.0,VŨ TRỤ TỈNH THỨC | TRUNG NGUYÊN LEGEND | OFFICIAL MV,6,4,66.67
127,iVTScPKw1XM,youtube,Highlands Coffee Vietnam,video,2020-01-01,276034,4006,1.4513,0.0,"HIGHLANDS COFFEE X HUỲNH LẬP || Tết Ngưng Cà Khịa - Chuyện Thêm Bùi Tai | LÊ NHÂN, KHẢ NHƯ | FULL 4K",67,21,31.34
493,sGXENOIuRXA,youtube,Trung Nguyên Legend,video,2025-01-15,71167,2183,3.0674,0.0,☕✨ Cà phê G7 Gold – Năng Lượng Thứ Thiệt cho Tết Tỉnh Thức 🌟,3,0,0.0
1024,H34tUOMmPrk,youtube,Trung Nguyên Legend,video,2024-09-28,173628,1541,0.8875,0.0,Bloomberg: Trung Nguyên Legend’s Vision for Vietnamese Coffee - The Robusta Awakening,6,2,33.33
1090,NqlGSRrSiPI,youtube,Trung Nguyên Legend,video,2023-12-14,57034,1192,2.09,0.0,The Tao of Coffee - Cà Phê Đạo | Phần 1 | Trung Nguyên Legend,65,14,21.54
495,zoyIknUpmys,youtube,Trung Nguyên Legend,video,2025-01-09,222118,1010,0.4547,0.0,✨👸 HOA HẬU THANH THỦY ĐÓN TẾT TỈNH THỨC CÙNG TRUNG NGUYÊN LEGEND ☕🌸,4,1,25.0
561,MZwDh-kKvD4,youtube,Cong Caphe,video,2018-10-19,58107,572,0.9844,0.0,CỐT DỪA CÀ PHÊ | COCONUT MILK W. COFFEE | CỘNG CAPHE,4,1,25.0
573,y4PavkUzZdI,youtube,Gong Cha Vietnam,video,2018-07-17,307406,539,0.1753,0.0,Gong Cha Vietnam TVC,2,0,0.0
1313,DAZWOuQqTWA,youtube,Trung Nguyên Legend,video,2020-05-15,28414,412,1.45,0.0,Giới thiệu không gian Trung Nguyên E-Coffee,22,8,36.36
1319,i2G4TVfOo54,youtube,Trung Nguyên Legend,video,2020-03-26,70176,412,0.5871,0.0,How to make Dalgona Coffee - Hướng dẫn pha chế cà phê bọt biển,14,1,7.14
1186,Q2VSywR5X50,youtube,Trung Nguyên Legend,video,2022-09-22,22287,394,1.7678,0.0,Trải nghiệm không gian Thế Giới Cà Phê Trung Nguyên Legend đầu tiên trên thế giới tại Thượng Hải,29,6,20.69
150,fV28kxCoMaI,youtube,Highlands Coffee Vietnam,video,2019-10-08,22826873,392,0.0017,0.0,Highlands Coffee - 20 Năm Gắn Kết Niềm Tự Hào Đất Việt - 60 giây,19,6,31.58
1266,TyclnS01qpE,youtube,Trung Nguyên Legend,video,2021-05-11,29454,363,1.2324,0.0,CÂU CHUYỆN CÀ PHÊ | TRUNG NGUYÊN LEGEND X VIETNAM AIRLINES,12,4,33.33
103,ByXL5WCSXys,youtube,Highlands Coffee Vietnam,video,2022-11-23,739457,357,0.0483,0.0,HIGHLANDS COFFEE® || LÀ CỦA CHÚNG MÌNH,8,1,12.5
1337,TrxhV1PN96M,youtube,Trung Nguyên Legend,video,2019-11-16,21650,332,1.5335,0.0,Khám phá BẢO TÀNG THẾ GIỚI CÀ PHÊ,23,4,17.39
3,WeVaQu3NPww,youtube,Highlands Coffee Vietnam,video,2024-10-30,9879,320,3.2392,0.0,KHOE SẮC THĂNG HƯƠNG - TRÀ SEN VÀNG (TOPPING MỚI),0,0,
1185,YGvqo0-cVX0,youtube,Trung Nguyên Legend,video,2022-09-23,13396,287,2.1424,0.0,Khai trương không gian Thế Giới Cà Phê Trung Nguyên Legend quốc tế đầu tiên tại Thượng Hải,13,3,23.08
9,3V-aw2GMi44,youtube,Highlands Coffee Vietnam,video,2023-11-02,4533866,261,0.0058,0.0,"HIGHLANDS COFFEE || 24 NĂM CHÚNG MÌNH,  NGON ĐẬM CHẤT PHIN 19K",2,1,50.0
1091,3Gf-0kitN5Y,youtube,Trung Nguyên Legend,video,2023-11-25,10790,251,2.3262,0.0,THE TAO OF COFFEE - CÀ PHÊ ĐẠO | Trailer | Discovery Channel,12,3,25.0
1316,bsEZe6TUw1w,youtube,Trung Nguyên Legend,video,2020-04-15,21938,250,1.1396,0.0,Hướng dẫn pha chế Cold Brew Cam Sả - Năng lượng thanh lọc – khỏe mạnh ngày hè,6,2,33.33
1322,Xn6Yzyh9G08,youtube,Trung Nguyên Legend,video,2020-01-15,15795,243,1.5385,0.0,Hành trình Từ Trái Tim 2019-2020,19,5,26.32
1272,2_LrVFsG9Yc,youtube,Trung Nguyên Legend,video,2021-03-03,8947,242,2.7048,0.0,HƯỚNG DƯƠNG - TRUNG NGUYÊN LEGEND X WOWY | OFFICIAL LYRIC VIDEO,19,6,31.58
113,NH0Mz6AbXlc,youtube,Highlands Coffee Vietnam,video,2022-03-11,366621,242,0.066,0.0,HIGHLANDS COFFEE || LÀM GÌ THÌ LÀM - TỚI HIGHLANDS CÀ PHÊ CÁI ĐÃ!,5,0,0.0
1088,3eC7zoEcil4,youtube,Trung Nguyên Legend,video,2023-12-18,20044,238,1.1874,0.0,The Tao of Coffee  - Cà Phê Đạo | Phần 2 | Trung Nguyên Legend,8,2,25.0
173,b6O-8VzZzW4,youtube,Highlands Coffee Vietnam,video,2018-11-16,18394641,233,0.0013,0.0,"Highlands Coffee - TỰ HÀO SINH RA TỪ ĐẤT VIỆT, 1999",6,1,16.67
1087,9HZXl6UxV9Q,youtube,Trung Nguyên Legend,video,2023-12-20,17363,229,1.3189,0.0,The Tao of Coffee - Cà Phê Đạo | Phần 3 | Trung Nguyên Legend,16,3,18.75
164,M0PkOjZZpBM,youtube,Highlands Coffee Vietnam,video,2019-05-31,13793104,214,0.0016,0.0,"HIGHLANDS PHIN SỮA ĐÁ - SỐNG ĐẬM CHẤT, CHỌN PHIN ĐẬM ĐÀ (2019)",19,10,52.63
969,nN7gLlOJHn0,youtube,Trung Nguyên Legend,video,2025-03-10,113282,205,0.181,0.0,✨ Khám phá Hành Trình Tỉnh Thức qua Ba Nền Văn Minh Cà Phê tại Lễ Hội Cà Phê Buôn Ma Thuột 2025 ☕,0,0,
563,hOScaK0uI2Y,youtube,Cong Caphe,video,2018-10-19,22860,201,0.8793,0.0,CÀ PHÊ BẠC XỈU | COFFEE W. COCONUT MILK | CỘNG CAPHE,1,0,0.0
1273,RqHaahpP9Nk,youtube,Trung Nguyên Legend,video,2021-01-20,17382,198,1.1391,0.0,HƯỚNG DƯƠNG | TRUNG NGUYÊN LEGEND X WOWY | KARAOKE VERSION,11,10,90.91
1191,UIzkfFHRXO4,youtube,Trung Nguyên Legend,video,2022-08-13,5660,172,3.0389,0.0,TỦ SÁCH NỀN TẢNG ĐỔI ĐỜI | Thập Nhị Binh Thư và Tinh Hoa Binh Pháp,12,3,25.0
175,n9JHiIjE7cQ,youtube,Highlands Coffee Vietnam,video,2018-08-06,4517936,169,0.0037,0.0,"BIẾT TẬN HƯỞNG, UỐNG HIGHLANDS FREEZE TRÀ XANH",7,2,28.57
1207,i5Qoz4DOv4k,youtube,Trung Nguyên Legend,video,2022-05-07,6437,164,2.5478,0.0,TỦ SÁCH NỀN TẢNG ĐỔI ĐỜI | Khác Biệt Hay Là Chết - Triết lý xây dựng thương hiệu bền vững,7,0,0.0
533,EWA625qAK1E,youtube,Trung Nguyên Legend,video,2024-06-03,5318,160,3.0086,0.0,TỦ SÁCH NỀN TẢNG ĐỔI ĐỜI | Quỷ Cốc Tử Mưu Lược Toàn Thư,11,1,9.09
176,0TIzD4OfIPM,youtube,Highlands Coffee Vietnam,video,2018-05-03,2588677,156,0.006,0.0,"HIGHLANDS COFFEE PHIN SỮA ĐÁ – SỐNG ĐẤM CHẤT, CHỌN PHIN ĐẬM ĐÀ",3,1,33.33
156,F3axfYNhMRc,youtube,Highlands Coffee Vietnam,video,2019-08-06,7070903,155,0.0022,0.0,"HIGHLANDS FREEZE TRÀ XANH - TRÀ XANH ĐẬM ĐÀ, THẠCH GIÒN KHÓ CƯỠNG",5,1,20.0
1253,MiajDKVR684,youtube,Trung Nguyên Legend,video,2021-11-01,5949,153,2.5719,0.0,“Khuyến học” - cuốn sách thức tỉnh hàng triệu người dân Nhật,7,0,0.0
162,NNx33k8MZmw,youtube,Highlands Coffee Vietnam,video,2019-06-17,10913,151,1.3837,0.0,"Phin Sữa Đá - Cà Phê Nguyên Chất, Ngon Đậm Đà",1,0,0.0
1178,EcIwtW64O5Y,youtube,Trung Nguyên Legend,video,2022-11-15,7652,151,1.9733,0.0,TỦ SÁCH NỀN TẢNG ĐỔI ĐỜI | Tư Tưởng Pháp Trị Của Hàn Phi Tử,6,1,16.67
1117,cZCSD8aOZoo,youtube,Trung Nguyên Legend,video,2023-06-18,9120,148,1.6228,0.0,Giọt Cà Phê Tỉnh Thức,11,3,27.27
1256,G7BCu1TknkY,youtube,Trung Nguyên Legend,video,2021-10-21,7420,146,1.9677,0.0,Nghĩ Giàu Làm Giàu - Cuốn sách đem lại khát vọng để thành công,7,0,0.0
1152,bqrxMdKCNB8,youtube,Trung Nguyên Legend,video,2023-03-25,5555,146,2.6283,0.0,Giới trẻ Trung Quốc checkin Thế Giới Cà Phê Trung Nguyên Legend tại Thượng Hải,1,0,0.0
154,-iawDgSwH0Q,youtube,Highlands Coffee Vietnam,video,2019-08-30,6859226,145,0.0021,0.0,"HIGHLANDS COFFEE - BIẾT TẬN HƯỞNG, UỐNG FREEZE TRÀ XANH",3,0,0.0
1258,dW48LQwmiYQ,youtube,Trung Nguyên Legend,video,2021-10-19,5828,138,2.3679,0.0,TỦ SÁCH NỀN TẢNG ĐỔI ĐỜI | “Quân Vương” và nghệ thuật lãnh đạo,5,0,0.0
1008,kPBXRmS1DHE,youtube,Trung Nguyên Legend,video,2024-11-25,10932,138,1.2623,0.0,☕️ Hướng dẫn pha chế Cà Phê Bạc Xỉu Trung Nguyên,2,0,0.0
1115,MmGfS-1sicM,youtube,Trung Nguyên Legend,video,2023-07-14,8966,135,1.5057,0.0,Trung Nguyên E-Coffee 2023 - Mô hình khởi nghiệp cà phê thành công nhất của Trung Nguyên Legend,16,3,18.75
169,ptTHn_u-XrA,youtube,Highlands Coffee Vietnam,video,2018-12-04,6826,133,1.9484,0.0,"Highlands Coffee - Tự hào sinh ra từ Đất Việt, 1999",3,0,0.0
1116,kx8Ojj-4E_0,youtube,Trung Nguyên Legend,video,2023-07-03,9653,126,1.3053,0.0,Công thức thành công của chuỗi quán cà phê Trung Nguyên Legend,8,3,37.5
1254,sDp1xBrFhZs,youtube,Trung Nguyên Legend,video,2021-11-01,6397,124,1.9384,0.0,"“Không bao giờ là thất bại, tất cả là thử thách” - Muốn thành công hãy dám thách thức thất bại",2,1,50.0
168,KoKJn6U_8YM,youtube,Highlands Coffee Vietnam,video,2019-01-19,24892278,123,0.0005,0.0,"TẾT SEN VÀNG, XUÂN GIÒN CHUYỆN",6,1,16.67
1102,_k7rxwDUzzs,youtube,Trung Nguyên Legend,video,2023-10-03,4701,121,2.5739,0.0,Người Ấn Độ ấn tượng ấn tượng với cà phê sữa đá Trung Nguyên Legend,7,0,0.0
153,SB0j_zPEL1U,youtube,Highlands Coffee Vietnam,video,2019-09-04,9516,116,1.219,0.0,"HIGHLANDS COFFEE - BIẾT TẬN HƯỞNG, UỐNG FREEZE TRÀ XANH!",4,0,0.0
1125,xxsSYrl0Gag,youtube,Trung Nguyên Legend,video,2023-05-23,5214,112,2.1481,0.0,CÀ PHÊ TRIẾT ĐẠO | Cà Phê và Quan Niệm Sự Sống,6,2,33.33
155,joTxKtjvcLY,youtube,Highlands Coffee Vietnam,video,2019-08-17,9371,112,1.1952,0.0,"HIGHLANDS FREEZE TRÀ XANH - TẬN HƯỞNG TRÀ XANH ĐẬM ĐÀ, THẠCH GIÒN KHÓ CƯỠNG!",4,0,0.0
186,DDgYGloRfTs,youtube,Highlands Coffee Vietnam,video,2017-10-02,1640762,112,0.0068,0.0,HÃY NÓI YES VỚI HIGHLANDS PHIN SỮA ĐÁ ĐẬM ĐÀ (30s),5,2,40.0
1106,f1BZCo4SFoE,youtube,Trung Nguyên Legend,video,2023-09-27,3781,112,2.9622,0.0,"Sức hút của Không gian Trung Nguyên Legend đầu tiên tại phố Bolsa (California, Mỹ)",2,0,0.0
1019,bKR-uIhOA-o,youtube,Trung Nguyên Legend,video,2024-10-08,3078,110,3.5737,0.0,CÀ PHÊ TRIẾT ĐẠO | Cà phê tỉnh thức “Thế hệ đã mất”,1,0,0.0
121,bWdOcB14wKg,youtube,Highlands Coffee Vietnam,video,2020-09-07,10799,109,1.0094,0.0,Highlands Coffee - THÍCH THÌ PhinDi!,2,0,0.0
1241,hVHIIgMQHBE,youtube,Trung Nguyên Legend,video,2021-12-09,4040,107,2.6485,0.0,“Tầm nhìn thay đổi quốc gia”: Sự vượt trội trong tầm nhìn phát triển của Dubai,7,1,14.29
1243,HlTIf77rm7E,youtube,Trung Nguyên Legend,video,2021-11-22,3941,105,2.6643,0.0,Chính trị luận - Cuốn sách giúp bạn trở thành công dân lý tưởng,3,0,0.0
157,489emSwdVvw,youtube,Highlands Coffee Vietnam,video,2019-07-11,172748,105,0.0608,0.0,MỪNG 300 QUÁN - TRĂM CHUYỆN BUỒN VUI ĐƯỢC CHIA SỚT TẠI HIGHLANDS COFFEE,1,0,0.0
1304,3W8TzBFmObs,youtube,Trung Nguyên Legend,video,2020-06-18,6179,104,1.6831,0.0,Thế giới Cà phê Trung Nguyên Legend trên sàn thương mại điện tử toàn cầu Amazon,5,3,60.0
1184,0NtEKQyQTWc,youtube,Trung Nguyên Legend,video,2022-09-23,2855,102,3.5727,0.0,CÀ PHÊ TRIẾT ĐẠO | CÀ PHÊ VÀ KHÁT VỌNG ĐẠI HÀN  – P1: Cà phê và giấc mộng đế quốc,1,1,100.0
1329,0ik6hdzw1VM,youtube,Trung Nguyên Legend,video,2019-12-23,6989,101,1.4451,0.0,KẾT NỐI THÀNH CÔNG VỚI TRUNG NGUYÊN E-COFFEE,11,2,18.18
1176,TIjotqo8ImU,youtube,Trung Nguyên Legend,video,2023-01-03,3544,101,2.8499,0.0,TỦ SÁCH NỀN TẢNG ĐỔI ĐỜI | Đồng tiền lên ngôi: Cái nhìn toàn diện về lịch sử tài chính thế giới,2,0,0.0
165,IVYaNN12HwQ,youtube,Highlands Coffee Vietnam,video,2019-02-11,6532,99,1.5156,0.0,"HẾT TẾT, CHUYỆN VẪN GIÒN",1,0,0.0
1249,J5TAeHli1nU,youtube,Trung Nguyên Legend,video,2021-11-11,3063,98,3.1995,0.0,Tương lai của “Trật tự thế giới”,3,0,0.0
