post_id,external_post_id,full_date,full_timestamp,hour_of_day,day_name,day_of_week,week_of_year,month_of_year,calendar_year,platform_name,page_name,industry,is_competitor,content_type,content_category,reach,impressions,likes,comments,shares,saves,engagement_count,engagement_rate,virality_score,post_url,caption,loaded_comment_count,positive_comment_count,neutral_comment_count,negative_comment_count,sentiment_ratio
650,BTivTcK8Loo,2022-12-16,2022-12-16 16:48:51+00:00,23,Friday,5,50,12,2022,youtube,The Coffee House,F&B,True,video,video,3,3,0,0,0,0,0,0.0,0.0,,The Coffee House (Episode 101) (July/August 2005),0,0,0,0,
649,vKCNAjoHFho,2022-12-16,2022-12-16 16:48:51+00:00,23,Friday,5,50,12,2022,youtube,The Coffee House,F&B,True,video,video,9,9,0,0,0,0,0,0.0,0.0,,The Coffee House (Episode 48) (June 2001),0,0,0,0,
648,JF1K_aRzgFo,2023-01-28,2023-01-28 14:43:29+00:00,21,Saturday,6,4,1,2023,youtube,Erica Explores,F&B,False,video,video,98,98,7,3,0,0,10,10.2041,0.0,,"SAIGON TRAVEL 2022: Day 4 | HCMC Museum, The Coffee House, Uniqlo, Pink Church, Independence Palace",2,0,2,0,0.0
647,tOeENwuMXpo,2023-03-16,2023-03-16 10:37:54+00:00,17,Thursday,4,11,3,2023,youtube,SÀI GÒN TREND,F&B,False,video,video,329,329,3,0,0,0,3,0.9119,0.0,,"SIGNATURE by The Coffee House, Quận 7 #saigonvivu",0,0,0,0,
646,ush6ToI4RSc,2023-04-18,2023-04-18 00:58:23+00:00,7,Tuesday,2,16,4,2023,youtube,Booking Voice over Vietnam,F&B,False,video,video,25,25,0,0,0,0,0,0.0,0.0,,Voice | The Coffee House | Espesso gu đậm,0,0,0,0,
645,02kx_Vr1Vic,2023-05-31,2023-05-31 08:02:58+00:00,15,Wednesday,3,22,5,2023,youtube,Vũ Thắng TV,F&B,False,video,video,227,227,0,0,0,0,0,0.0,0.0,,The Coffee House (Nhà hát Lam Sơn) I Tp. Thanh Hoá I Thanh Hoá I Vietnam I Thang Vu,0,0,0,0,
644,-loW7OZZ1KM,2023-08-15,2023-08-15 09:15:04+00:00,16,Tuesday,2,33,8,2023,youtube,A ha vlog,F&B,False,video,video,123,123,2,0,0,0,2,1.626,0.0,,cafe ☕ the Coffee House viet nam 🇻🇳😀😊💖 #viral,0,0,0,0,
643,zSIkeNqPJLs,2023-08-16,2023-08-16 03:30:31+00:00,10,Wednesday,3,33,8,2023,youtube,Ninh Titô,F&B,False,video,video,68107,68107,1044,97,0,0,1141,1.6753,0.0,,Đại chiến THE COFFEE HOUSE và HIGHLANDS COFFEE // Chiến thắng tỉ số 4-1 quá bất ngờ!,50,11,39,0,22.0
642,R2-Uors4rjk,2023-09-10,2023-09-10 04:01:45+00:00,11,Sunday,7,36,9,2023,youtube,ben hoi keong,F&B,False,video,video,48,48,3,0,0,0,3,6.25,0.0,,The Coffee House Hanoi,0,0,0,0,
641,hrwjNe-R9ig,2023-09-18,2023-09-18 06:58:40+00:00,13,Monday,1,38,9,2023,youtube,Dcbalikbayan items,F&B,False,video,video,1,1,0,0,0,0,0,0.0,0.0,,The coffee house in Vietnam 🇻🇳,0,0,0,0,
